comands,scored_goals_home,scored_goals_away,all_scored_goals,conceded_goals_home,conceded_goals_away,all_conceded_goals,corners,shots_on_goal,shots_on_target,yellow_cards,red_cards,
Лестер,7,9,16,7,11,18,5.2,11.9,4.6,14,1,
Брайтон,6,6,12,8,4,12,5,11.8,4.2,29,1,
Арсенал,10,3,13,6,7,13,5.2,14,4.7,17,1,
Кристал Пэлас,9,6,15,4,10,14,3.5,11,3.3,19,0,
Лидс,6,5,11,9,9,18,4.7,14.3,4.2,24,1,
Саутгемптон,5,5,10,4,8,12,6.1,12.5,3.5,21,1,
Вулверхэмптон,4,7,11,6,6,12,4.6,11.4,3.6,22,0,
Ливерпуль,10,21,31,5,6,11,7.7,19.5,7,12,0,
Брентфорд,7,6,13,9,5,14,3.8,12.3,4.2,21,1,
Норвич,3,2,5,10,16,26,4.1,10.3,2.6,22,1,
Вест Хэм,12,11,23,9,4,13,5.8,15.6,5.4,15,1,
Уотфорд,4,8,12,11,8,19,3.8,10.3,3.6,26,1,
Бёрнли,5,6,11,5,12,17,4.7,11.2,3.6,26,0,
Астон Вилла,9,5,14,8,12,20,5.5,11.7,3.5,25,1,
Ман.Сити,12,10,22,2,4,6,8.4,17.7,5.6,18,1,
Челси,17,10,27,3,1,4,6.2,15.5,5.5,13,1,
Ньюкасл,7,5,12,13,11,24,4.2,10.7,2.9,32,1,
Тоттенхэм,4,5,9,7,9,16,5.2,10.1,3.6,23,1,
Эвертон,10,6,16,8,8,16,4.4,13.5,4.1,20,1,
Ман.Юнайтед,10,9,19,11,6,17,5.7,15,5.2,25,1,